Question,Answer
How did Harry get rid of Peeves on the night he went to get the Sorcerer's Stone?,He pretended to be the Bloody Baron.
Why was Harry so good at finding the right winged key on his way to the Sorcerer's stone?,He had the skills of a Seeker .
"Which chess piece did Ron become as he, Harry and Hermione made their way to the Sorcerer's stone?",Knight
What was Professor Sprout's charm to guard the Sorcerer's Stone?,The Devil's Snare
What was Professor Flitwick's charm to guard the Sorcerer's Stone?,The flying keys
What was Professor Snape's charm to guard the Sorcerer's Stone?,Seven potions to choose from
Stone?,Purple and black
"Who said, “A  lot of the greatest wizards haven't got an ounce of logic, they'd be stuck in here forever”?",Hermione
"Why could Harry get the Sorcerer's Stone from the Mirror of Erised, but Voldemort could not?","Harry just wanted to find the Stone, not use it"
What gift did Hagrid give Harry at the end of the first book?,An album with photos of his parents
"Who said, “It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends”?",Dumbledore
"Dumbledore chooses a candy that he thinks will be a nice toffee, but what flavor is it, really?",Earwax
"When Ron says, “I always said he was off his rocker ,” who was he talking about?",Dumbledore
What is Neville's best subject?,Herbology
